Ticker,prior_return,regime_view,bl_return,annual_volatility
MS,0.2377863460586733,0.20647058852905395,0.26225940910252066,0.4681800663540715
EME,0.15957025777506006,0.265407028874755,0.22120647357981435,0.35935951506691827
DE,0.1557062712158478,0.19244253821697557,0.1919699267036563,0.32343623326018645
ORLY,0.10651001046076625,0.2745024393091026,0.18724618912972646,0.2738166450053341
CASY,0.11079528353636695,0.2257465070168758,0.17403462323618016,0.304876531190068
XOM,0.15827999473292242,0.09650019250241175,0.15929583395509064,0.26503807572401084
LMT,0.10489466874433817,0.1679705720021814,0.14221935451216922,0.2292720218287754
MO,0.09674953845194453,0.14703312864396834,0.12660421166876848,0.21064658159798244
GLD,0.04641105599431347,0.13357022811144145,0.08371898162943742,0.18131389495363331
TLT,0.014266269995142283,0.05395206996398724,0.025604159709184664,0.14611169861641193
SHY,0.037932582395917416,0.020333443697472874,0.023125218319300214,0.014943579150744759
