,BL,MVO Min Vol,MVO Semivariance,MVO CVaR,HRP,NCO
CASY,0.09014,0.04199,0.2000020000200002,0.06036060360603605,0.04828807860392223,0.025177780498015917
ORLY,0.19018,0.06286,0.2000020000200002,0.08040080400804007,0.05984457791378543,0.039771660022960495
TLT,0.10418,0.2,0.0,0.2000020000200002,0.2,0.2655274754897544
SHY,0.0,0.2,0.0,0.2000020000200002,0.2,0.2655274754897532
LMT,0.10425,0.10563,0.03161031610316103,0.09695096950969509,0.08102562612378827,0.0742690556518192
DE,0.04663,0.00296,0.1109411094110941,0.0,0.05353198890758634,0.002424823869961779
MO,0.09889,0.14143,0.0,0.11383113831138311,0.06867042675426402,0.10049453001948218
GLD,0.2,0.2,0.049110491104911044,0.2000020000200002,0.2,0.19772419904750738
MS,0.05222,0.0,0.2000020000200002,0.0,0.016771664085964724,0.0
XOM,0.04837,0.04513,0.02187021870218702,0.04845048450484505,0.04340427621999981,0.029082999910745276
EME,0.06514,0.0,0.18646186461864617,0.0,0.02846336139068912,0.0
